iter	Passed	Remaining
0	178	177986
1	331	165344
2	487	162141
3	649	161749
4	807	160706
5	972	161088
6	1133	160729
7	1292	160256
8	1450	159683
9	1606	159061
10	1764	158688
11	1924	158437
12	2083	158157
13	2240	157817
14	2393	157161
15	2550	156849
16	2706	156501
17	2864	156268
18	3018	155862
19	3168	155276
20	3324	154984
21	3481	154753
22	3634	154399
23	3797	154434
24	3954	154224
25	4113	154091
26	4268	153839
27	4424	153592
28	4579	153331
29	4739	153235
30	4898	153127
31	5053	152874
32	5207	152596
33	5358	152230
34	5514	152052
35	5671	151857
36	5822	151542
37	5978	151348
38	6129	151047
39	6284	150816
40	6439	150629
41	6589	150291
42	6744	150097
43	6897	149854
44	7052	149663
45	7204	149413
46	7357	149187
47	7509	148946
48	7665	148781
49	7816	148506
50	7972	148343
51	8121	148056
52	8272	147818
53	8431	147713
54	8586	147539
55	8743	147382
56	8895	147169
57	9050	146990
58	9200	146741
59	9357	146597
60	9512	146431
61	9667	146266
62	9819	146038
63	9990	146111
64	10165	146222
65	10332	146213
66	10494	146143
67	10663	146147
68	10822	146029
69	10994	146067
70	11150	145892
71	11306	145726
72	11458	145511
73	11616	145368
74	11767	145136
75	11924	144982
76	12082	144827
77	12244	144730
78	12407	144653
79	12564	144496
80	12719	144306
81	12871	144101
82	13022	143878
83	13175	143678
84	13328	143475
85	13485	143327
86	13640	143145
87	13793	142951
88	13947	142760
89	14095	142520
90	14246	142305
91	14401	142133
92	14552	141925
93	14705	141734
94	14862	141581
95	15020	141446
96	15176	141277
97	15327	141078
98	15481	140900
99	15637	140734
100	15789	140543
101	15947	140397
102	16101	140222
103	16248	139990
104	16400	139796
105	16554	139622
106	16706	139426
107	16862	139272
108	17013	139077
109	17167	138902
110	17322	138732
111	17473	138539
112	17624	138341
113	17780	138187
114	17937	138039
115	18089	137857
116	18241	137670
117	18391	137468
118	18546	137308
119	18696	137107
120	18851	136946
121	19006	136785
122	19165	136648
123	19318	136476
124	19466	136268
125	19622	136109
126	19774	135930
127	19928	135760
128	20081	135588
129	20231	135397
130	20385	135228
131	20539	135063
132	20698	134927
133	20854	134777
134	21010	134621
135	21174	134519
136	21344	134457
137	21498	134285
138	21648	134096
139	21797	133897
140	21950	133725
141	22103	133556
142	22268	133456
143	22427	133319
144	22581	133150
145	22731	132964
146	22885	132796
147	23039	132633
148	23192	132463
149	23351	132326
150	23509	132181
151	23661	132003
152	23814	131834
153	23972	131695
154	24134	131572
155	24306	131504
156	24461	131342
157	24614	131174
158	24772	131029
159	24928	130874
160	25085	130723
161	25243	130581
162	25398	130419
163	25551	130252
164	25702	130070
165	25857	129908
166	26011	129744
167	26164	129576
168	26323	129436
169	26477	129270
170	26628	129094
171	26779	128912
172	26934	128757
173	27085	128579
174	27242	128426
175	27393	128251
176	27554	128120
177	27725	128033
178	27898	127956
179	28055	127808
180	28219	127689
181	28372	127520
182	28540	127419
183	28701	127283
184	28865	127165
185	29019	126998
186	29171	126827
187	29326	126664
188	29483	126513
189	29636	126345
190	29795	126202
191	29951	126046
192	30105	125881
193	30258	125713
194	30412	125549
195	30561	125366
196	30715	125202
197	30875	125062
198	31025	124881
199	31183	124732
200	31335	124563
201	31489	124399
202	31648	124254
203	31803	124096
204	31969	123977
205	32120	123806
206	32271	123629
207	32427	123475
208	32581	123310
209	32733	123139
210	32888	122980
211	33043	122821
212	33195	122651
213	33345	122476
214	33497	122306
215	33660	122175
216	33835	122087
217	33992	121937
218	34151	121792
219	34312	121652
220	34486	121562
221	34657	121458
222	34821	121327
223	34988	121209
224	35147	121063
225	35304	120910
226	35472	120793
227	35634	120657
228	35801	120535
229	35973	120432
230	36139	120307
231	36307	120190
232	36464	120034
233	36618	119871
234	36782	119738
235	36957	119641
236	37120	119504
237	37281	119364
238	37438	119207
239	37604	119082
240	37805	119063
241	37966	118919
242	38127	118776
243	38306	118687
244	38483	118592
245	38642	118439
246	38801	118289
247	38959	118135
248	39123	117999
249	39299	117898
250	39463	117760
251	39619	117601
252	39780	117456
253	39944	117317
254	40096	117146
255	40248	116972
256	40400	116799
257	40556	116638
258	40711	116476
259	40869	116320
260	41021	116147
261	41177	115989
262	41331	115821
263	41486	115658
264	41648	115516
265	41816	115388
266	41977	115241
267	42136	115088
268	42293	114930
269	42445	114759
270	42598	114591
271	42753	114429
272	42910	114269
273	43061	114097
274	43216	113935
275	43371	113770
276	43524	113602
277	43682	113450
278	43836	113282
279	43991	113120
280	44152	112973
281	44309	112815
282	44460	112644
283	44613	112476
284	44775	112331
285	44963	112251
286	45123	112101
287	45281	111946
288	45436	111782
289	45594	111628
290	45749	111464
291	45906	111308
292	46059	111139
293	46206	110958
294	46359	110790
295	46516	110633
296	46666	110460
297	46817	110287
298	46975	110134
299	47133	109977
300	47293	109827
301	47454	109678
302	47614	109528
303	47773	109376
304	47933	109226
305	48114	109122
306	48283	108991
307	48443	108840
308	48606	108695
309	48768	108550
310	49051	108670
311	49294	108701
312	49457	108554
313	49617	108400
314	49785	108264
315	49965	108153
316	50133	108017
317	50296	107867
318	50457	107715
319	50616	107559
320	50773	107398
321	50947	107273
322	51109	107124
323	51270	106971
324	51422	106800
325	51583	106647
326	51739	106485
327	51899	106331
328	52057	106170
329	52212	106007
330	52372	105851
331	52530	105692
332	52688	105536
333	52848	105379
334	53012	105233
335	53169	105073
336	53326	104913
337	53559	104900
338	53743	104792
339	53905	104639
340	54062	104479
341	54219	104316
342	54377	104157
343	54534	103995
344	54693	103837
345	54855	103686
346	55020	103539
347	55182	103388
348	55344	103235
349	55515	103100
350	55698	102986
351	55868	102849
352	56029	102694
353	56187	102533
354	56345	102373
355	56501	102210
356	56657	102046
357	56808	101874
358	56967	101715
359	57118	101544
360	57273	101378
361	57428	101213
362	57580	101044
363	57731	100871
364	57889	100711
365	58039	100539
366	58191	100368
367	58369	100243
368	58535	100097
369	58697	99943
370	58875	99818
371	59044	99677
372	59197	99509
373	59352	99343
374	59507	99178
375	59664	99017
376	59820	98854
377	59975	98690
378	60127	98520
379	60282	98355
380	60435	98188
381	60587	98018
382	60744	97856
383	60896	97687
384	61051	97523
385	61207	97361
386	61362	97197
387	61519	97035
388	61676	96874
389	61830	96709
390	61985	96544
391	62141	96383
392	62295	96217
393	62448	96049
394	62605	95889
395	62755	95718
396	62910	95554
397	63068	95394
398	63217	95221
399	63370	95055
400	63520	94885
401	63675	94721
402	63834	94563
403	63988	94398
404	64141	94232
405	64294	94066
406	64449	93902
407	64599	93732
408	64758	93575
409	64908	93405
410	65060	93237
411	65215	93074
412	65370	92912
413	65521	92742
414	65676	92580
415	65830	92416
416	65982	92249
417	66133	92080
418	66280	91907
419	66431	91738
420	66582	91571
421	66735	91405
422	66886	91236
423	67044	91078
424	67196	90913
425	67349	90748
426	67505	90587
427	67663	90429
428	67817	90264
429	67966	90095
430	68118	89929
431	68269	89761
432	68420	89594
433	68572	89428
434	68729	89269
435	68883	89105
436	69039	88945
437	69194	88784
438	69346	88618
439	69502	88458
440	69653	88291
441	69804	88124
442	69964	87969
443	70113	87800
444	70266	87635
445	70419	87472
